"","아파트명","도로명주소","geometry","near_station","nearest_station","nearest_distance"
"132","청담파크빌","서울특별시 강남구 학동로 437-5",c(127.0487252, 37.51901713),FALSE,"선릉",1641.97407259165
"133","진흥아파트","서울특별시 강남구 학동로 513",c(127.0537632, 37.51992217),FALSE,"삼성",1488.38608723171
"134","강남웅진베어스빌","서울특별시 강남구 도곡로 113",c(127.0328432, 37.4901798),FALSE,"강남",983.378156099486
"135","도곡루아르","서울특별시 강남구 도곡로 128",c(127.0343887, 37.49006264),FALSE,"강남",1065.8056449224
"136","삼호","서울특별시 강남구 도곡로 242",c(127.0459283, 37.49353529),FALSE,"매봉",719.218335892698
"137","래미안그레이튼(진달래2차)","서울특별시 강남구 도곡로 306",c(127.0479376, 37.49418693),FALSE,"도곡",764.135735512866
"138","래미안도곡카운티","서울특별시 강남구 도곡로 320",c(127.0502439, 37.49499745),FALSE,"도곡",645.162575662329
"139","롯데캐슬리베","서울특별시 강남구 도곡로 404",c(127.0540255, 37.49625735),FALSE,"도곡",588.940295004454
"140","삼환SOGOOD","서울특별시 강남구 도곡로 413",c(127.0556344, 37.49756479),FALSE,"도곡",715.647637200201
"141","상지리츠빌카일룸(1009-4)","서울특별시 강남구 도곡로 603",c(127.0681433, 37.50160907),FALSE,"학여울",579.508031316155
"142","세곡푸르지오","서울특별시 강남구 자곡로 21",c(127.0931293, 37.46670426),FALSE,"학여울",3890.98453003016
"143","시니어스홈","서울특별시 강남구 자곡로 100-2",c(127.0957202, 37.47151908),FALSE,"학여울",3579.31276065307
"144","지고하임(102동)","서울특별시 강남구 강남대로136길 40",c(127.0236369, 37.51373651),FALSE,"신논현",1036.03159739923
"145","래미안강남힐즈","서울특별시 강남구 자곡로 101",c(127.0938574, 37.47412202),FALSE,"학여울",3250.73524232672
"146","엘에이치강남8단지","서울특별시 강남구 자곡로 154",c(127.1007735, 37.47232056),FALSE,"학여울",3807.77984081545
"147","엘에이치강남아이파크","서울특별시 강남구 자곡로 175",c(127.1015903, 37.47484492),FALSE,"학여울",3666.33352804995
"148","강남한양수자인(4단지)","서울특별시 강남구 자곡로 260",c(127.1124898, 37.47536674),FALSE,"학여울",4399.63159309022
"149","거평프리젠","서울특별시 강남구 강남대로112길 41",c(127.0276546, 37.50632269),FALSE,"신논현",353.888011268309
"150","우성","서울특별시 강남구 강남대로120길 58",c(127.0280527, 37.50755611),FALSE,"신논현",471.954972208974
"151","월드쉐르빌","서울특별시 강남구 강남대로124길 51",c(127.0260715, 37.51028186),FALSE,"신논현",665.720475828405
"152","세호시티라이프","서울특별시 강남구 강남대로128길 27",c(127.0243395, 37.51042009),FALSE,"신논현",664.994624381238
"153","힐타워","서울특별시 강남구 강남대로132길 26",c(127.0231124, 37.51240379),FALSE,"신논현",893.014247116636
"154","네오빌","서울특별시 강남구 강남대로132길 42",c(127.0244373, 37.51277391),FALSE,"신논현",926.691222065295
"155","애플타운","서울특별시 강남구 강남대로146길 13",c(127.0211888, 37.5150011),FALSE,"신논현",1208.43328995472
"156","신동아(22)","서울특별시 강남구 강남대로146길 28",c(127.0226474, 37.51467262),FALSE,"신논현",1148.50965079781
"157","천지인수지빌","서울특별시 강남구 강남대로160길 33",c(127.0213198, 37.52028256),FALSE,"신논현",1782.71137197948
"158","신사동씨티빌","서울특별시 강남구 강남대로162길 27-26",c(127.0206746, 37.52104929),FALSE,"신논현",1876.18420366328
"159","Ruden House","서울특별시 강남구 강남대로162길 41-8",c(127.0215699, 37.52144605),FALSE,"신논현",1907.62545158123
"160","도곡그린빌","서울특별시 강남구 강남대로44길 24",c(127.0357889, 37.48614339),FALSE,"매봉",986.900276795458
"161","삼경하이빌2","서울특별시 강남구 강남대로48길 15",c(127.0343975, 37.48707312),FALSE,"매봉",1103.75070140939
"162","조이너스 도곡","서울특별시 강남구 강남대로48길 24",c(127.0351035, 37.48698992),FALSE,"매봉",1041.54133963567
"163","도곡푸르지오","서울특별시 강남구 강남대로54길 6",c(127.0332074, 37.48784608),FALSE,"매봉",1211.47829127927
"164","대우디오빌플러스","서울특별시 강남구 강남대로84길 33",c(127.0310587, 37.49760597),FALSE,"강남",312.964233943467
"165","뉴엠빌라트","서울특별시 강남구 강남대로94길 27-7",c(127.0293012, 37.50030016),FALSE,"강남",303.305815539748
"166","프리우스 역삼 101동","서울특별시 강남구 강남대로94길 51-14",c(127.0310482, 37.50136072),FALSE,"역삼",481.147202709222
"167","SH대치1단지 아파트","서울특별시 강남구 개포로109길 5",c(127.0741502, 37.49300416),FALSE,"학여울",524.904776152389
"168","성원대치2단지일반분양(11개동)","서울특별시 강남구 개포로109길 9",c(127.0751123, 37.49480509),FALSE,"학여울",457.984444904571
"169","삼익대청아파트 301동 ~ 306동","서울특별시 강남구 개포로109길 21",c(127.0770328, 37.49520537),FALSE,"학여울",598.141906073951
"170","개포자이(12-2)","서울특별시 강남구 개포로109길 69",c(127.0765698, 37.49641047),FALSE,"학여울",533.260974010711
"171","우성7","서울특별시 강남구 개포로110길 15",c(127.0782172, 37.49232123),FALSE,"학여울",837.800564815913
"172","현대4","서울특별시 강남구 개포로110길 21",c(127.077324, 37.4909569),FALSE,"학여울",879.808943453079
"173","디에이치 포레센트","서울특별시 강남구 개포로110길 38",c(127.0786686, 37.49024879),FALSE,"학여울",1018.7649554914
"174","개포한신","서울특별시 강남구 개포로110길 43",c(127.0791288, 37.49124137),FALSE,"학여울",974.77447298735
"175","래미안개포루체하임","서울특별시 강남구 개포로110길 50",c(127.0798804, 37.48938526),FALSE,"학여울",1162.25533617196
"176","삼성","서울특별시 강남구 개포로124길 27",c(127.0837559, 37.49293029),FALSE,"학여울",1241.08343317355
"177","개포현대6차","서울특별시 강남구 개포로15길 32-8",c(127.0459784, 37.47979078),FALSE,"매봉",818.418079516812
